,Organes,ActTot
0,Cœur,49737.645631882944
1,Tumeur Gauche,25132.66943424768
2,Tumeur Droite,32833.963867248196
3,Foie,33506.00254224535
4,Muscle,5270.555099394273
5,Cerveau,5345.207753594809
6,Os,42252.50018490258
7,Intestin,14772.547045326834
8,Rate,23804.92919393207
9,Rein,23776.37260892028
10,GG sub Gauche,15018.24643739358
11,GG sub Droite,15642.45815856536
