,Organes,Activité Interpolée Corrigée (MBq.sec),Activité Extrapolée Corrigée (MBq.sec),Activité Accumulée Totale (MBq.sec),Dose Absorbée (mGy.MBq⁻¹)
0,Coeur,2460.15233753185,4227.646914584453,6687.799252116303,2509.755170198918
1,Bladder,10014.849303203433,19671.499929086858,29686.34923229029,17203.66686354117
2,Spleen,245.07811079005958,379.32769178702665,624.4058025770862,229.0320483852752
3,Foie,3727.6228449114087,3581.065621765689,7308.6884666770975,195.33200796041208
4,Lungs,796.5625213232044,981.4772444839283,1778.0397658071327,319.8940686214479
5,Cerveau,1813.3188400728934,2179.880440332609,3993.1992804055026,333.10869077214664
6,Estomac,206.99928127394435,228.12714331248083,435.1264245864252,37.10401345204873
7,Rein,2338.513201563065,2539.930162121918,4878.443363684983,587.8368143052766
