Organe,0,Xie and Zaidi,Mird Gupta
Coeur,2,0.0,41.60804020100503
Bladder,0,0.0,0.0
Spleen,6,13.668341708542714,20.502512562814072
Foie,3,13.467336683417086,14.271356783919598
Lungs,4,48.64321608040201,37.58793969849246
Cerveau,1,2.0100502512562817,23.71859296482412
Estomac,5,8.442211055276383,8.241206030150755
Rein,7,33.96984924623116,39.39698492462312
